update,area1,area2,day,spot,ruby,atr,
,関西,大阪府,,大阪メトロ今里筋線 蒲生四丁目駅～鴫野駅間,おおさかめとろいまざとすじせん がもうよんちょうめえき～しぎのえきかん,鉄道,
,関西,大阪府,,大阪メトロ今里筋線 関目成育駅～蒲生四丁目駅間,おおさかめとろいまざとすじせん せきめせいいくえき～がもうよんちょうめえきかん,鉄道,
,関西,大阪府,,大阪メトロ今里筋線 鴫野駅～緑橋駅間,おおさかめとろいまざとすじせん しぎのえき～みどりばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ今里筋線 新森古市駅～関目成育駅間,おおさかめとろいまざとすじせん しんもりふるいちえき～せきめせいいくえきかん,鉄道,
,関西,大阪府,,大阪メトロ今里筋線 緑橋駅～今里駅間,おおさかめとろいまざとすじせん みどりばしえき～いまさとえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 恵美須町駅,おおさかめとろさかいすじせん  えびすちょうえき ,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 恵美須町駅～動物園前駅間,おおさかめとろさかいすじせん えびすちょうえき～どうぶつえんまええきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 堺筋本町駅,おおさかめとろさかいすじせん さかいすじほんまちえき,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 堺筋本町駅～長堀橋駅間,おおさかめとろさかいすじせん さかいすじほんまちえき～ながほりばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 扇町駅～南森町駅間,おおさかめとろさかいすじせん おうぎまちえき～みなみもりまちえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 長堀橋駅～日本橋駅間,おおさかめとろさかいすじせん ながほりばしえき～にほんばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 天神橋筋六丁目駅～扇町駅間,おおさかめとろさかいすじせん てんじんばしすじろくちょうめえき～おうぎまちえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 動物園前駅,おおさかめとろさかいすじせん どうぶつえんまええき,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 動物園前駅～天下茶屋駅間,おおさかめとろさかいすじせん どうぶつえんまええき～てんがちゃやえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 南森町駅～北浜駅間,おおさかめとろさかいすじせん みなみもりまちえき～きたはまえきかん,鉄道,
,関西,大阪府,,大阪メトロ堺筋線 日本橋駅～恵美須町駅間,おおさかめとろさかいすじせん にほんばしえき～えびすちょうえきかん,鉄道,
